Date	Hours	FI
01-01-2014	00-01	28.67
01-01-2014	01-02	28.08
01-01-2014	02-03	27.38
01-01-2014	03-04	26.21
01-01-2014	04-05	25.98
01-01-2014	05-06	26.38
01-01-2014	06-07	26.76
01-01-2014	07-08	27.14
01-01-2014	08-09	26.97
01-01-2014	09-10	26.54
01-01-2014	10-11	27.59
01-01-2014	11-12	28.43
01-01-2014	12-13	28.68
01-01-2014	13-14	28.82
01-01-2014	14-15	29.06
01-01-2014	15-16	29.51
01-01-2014	16-17	32.38
01-01-2014	17-18	33.26
01-01-2014	18-19	33.97
01-01-2014	19-20	31.16
01-01-2014	20-21	29.34
01-01-2014	21-22	30.37
01-01-2014	22-23	28.72
01-01-2014	23-00	27.84
02-01-2014	00-01	27.9
02-01-2014	01-02	26.94
02-01-2014	02-03	26.37
02-01-2014	03-04	26.56
02-01-2014	04-05	27.15
02-01-2014	05-06	29.08
02-01-2014	06-07	39.48
02-01-2014	07-08	39.25
02-01-2014	08-09	36.5
02-01-2014	09-10	35.3
02-01-2014	10-11	34.62
02-01-2014	11-12	35.28
02-01-2014	12-13	35.13
02-01-2014	13-14	35.8
02-01-2014	14-15	40.08
02-01-2014	15-16	45
02-01-2014	16-17	44.59
02-01-2014	17-18	42.37
02-01-2014	18-19	41.9
02-01-2014	19-20	42.79
02-01-2014	20-21	33.08
02-01-2014	21-22	33.05
02-01-2014	22-23	30.42
02-01-2014	23-00	29.91
03-01-2014	00-01	28.08
03-01-2014	01-02	26.24
03-01-2014	02-03	24.78
03-01-2014	03-04	25.14
03-01-2014	04-05	26.04
03-01-2014	05-06	27.77
03-01-2014	06-07	35.01
03-01-2014	07-08	40.2
03-01-2014	08-09	43.47
03-01-2014	09-10	40.96
03-01-2014	10-11	39.12
03-01-2014	11-12	38.8
03-01-2014	12-13	38.55
03-01-2014	13-14	37.95
03-01-2014	14-15	43.41
03-01-2014	15-16	50.23
03-01-2014	16-17	48.77
03-01-2014	17-18	48.07
03-01-2014	18-19	44.43
03-01-2014	19-20	36.92
03-01-2014	20-21	33.41
03-01-2014	21-22	34.39
03-01-2014	22-23	30.38
03-01-2014	23-00	27.66
04-01-2014	00-01	26.67
04-01-2014	01-02	25.34
04-01-2014	02-03	23.95
04-01-2014	03-04	23.45
04-01-2014	04-05	24.25
04-01-2014	05-06	25.63
04-01-2014	06-07	26.69
04-01-2014	07-08	27.58
04-01-2014	08-09	30.34
04-01-2014	09-10	30.31
04-01-2014	10-11	30.31
04-01-2014	11-12	30.35
04-01-2014	12-13	30.38
04-01-2014	13-14	32.37
04-01-2014	14-15	34.35
04-01-2014	15-16	36.93
04-01-2014	16-17	45.49
04-01-2014	17-18	45.83
04-01-2014	18-19	38.04
04-01-2014	19-20	34.58
04-01-2014	20-21	32.25
04-01-2014	21-22	34.55
04-01-2014	22-23	32.19
04-01-2014	23-00	27.6
05-01-2014	00-01	27.82
05-01-2014	01-02	27.21
05-01-2014	02-03	26.95
05-01-2014	03-04	26.62
05-01-2014	04-05	26.73
05-01-2014	05-06	27.1
05-01-2014	06-07	27.72
05-01-2014	07-08	28.03
05-01-2014	08-09	28.15
05-01-2014	09-10	28.54
05-01-2014	10-11	30.14
05-01-2014	11-12	30.96
05-01-2014	12-13	31.16
05-01-2014	13-14	30.06
05-01-2014	14-15	32.39
05-01-2014	15-16	35.92
